nota;grupo;codigo;esforco;prioridade;habilidades;prazo
9101944674;EXTREDBT;INRU;100;0;VAR;10080
9101944675;EXTREDBT;INRU;668;0;VAR;10080
9101944676;EXTREDBT;INRU;56;0;VAR;10080
9101944677;EXTREDBT;INRU;416;0;VAR;10080
9101944678;EXTREDBT;INRU;100;0;VAR;10080
9101944679;EXTREDBT;INRU;100;0;VAR;10080
9101944680;EXTREDBT;INRU;992;0;VAR;10080
9101944681;EXTREDBT;INRU;128;0;VAR;11520
9101944682;EXTREDBT;INRU;92;0;VAR;11520
9101944683;EXTREDBT;INRU;128;0;VAR;11520
9101944684;EXTREDBT;INRU;56;0;VAR;11520
9101944685;EXTREDBT;INRU;100;0;VAR;11520
9101944686;EXTREDBT;INRU;128;0;VAR;11520
9101944687;EXTREDBT;INRU;668;0;VAR;11520
9101944688;EXTREDBT;INRU;56;0;VAR;11520
9101944689;EXTREDBT;INRU;164;0;VAR;11520
9101944690;EXTREDBT;INRU;200;0;VAR;11520
9101944691;EXTREDBT;INRU;416;0;VAR;11520
9101944692;EXTREDBT;INRU;100;0;VAR;11520
9101944693;EXTREDBT;INRU;56;0;VAR;11520
9101944694;EXTREDBT;INRU;56;0;VAR;11520
9101944695;EXTREDBT;INRU;200;0;VAR;11520
9101944696;EXTREDBT;INRU;56;0;VAR;11520
9101944697;EXTREDBT;INRU;100;0;VAR;11520
9101944698;EXTREDBT;INRU;92;0;VAR;11520
9101944699;EXTREDBT;INRU;128;0;VAR;11520
9101944700;EXTREDBT;INRU;272;0;VAR;11520
9101944701;EXTREDBT;INRU;740;0;VAR;11520
9101944702;EXTREDBT;INRU;164;0;VAR;11520
9101944703;EXTREDBT;INRU;560;0;VAR;11520
9101944704;EXTREDBT;INRU;704;0;VAR;11520
9101944705;EXTREDBT;INRU;308;0;VAR;11520
9101944706;EXTREDBT;INRU;380;0;VAR;11520
9101944707;EXTREDBT;INRU;344;0;VAR;11520
9101944708;EXTREDBT;INRU;100;0;VAR;11520
9101944712;EXTREDBT;INRU;92;0;VAR;1440
9101944713;EXTREDBT;INRU;164;0;VAR;1440
9101944714;EXTREDBT;INRU;92;0;VAR;1440
9101944715;EXTREDBT;INRU;92;0;VAR;1440
9101944716;EXTREDBT;INRU;100;0;VAR;1440
9101944717;EXTREDBT;INRU;56;0;VAR;1440
9101944718;EXTREDBT;INRU;308;0;VAR;1440
9101944719;EXTREDBT;INRU;164;0;VAR;1440
9101944720;EXTREDBT;INRU;344;0;VAR;1440
9101944721;EXTREDBT;INRU;380;0;VAR;1440
9101944722;EXTREDBT;INRU;56;0;VAR;1440
9101944723;EXTREDBT;INRU;100;0;VAR;1440
9101944724;EXTREDBT;INRU;164;0;VAR;1440
9101944725;EXTREDBT;INRU;272;0;VAR;1440
9101944726;EXTREDBT;INRU;92;0;VAR;1440
9101944727;EXTREDBT;INRU;92;0;VAR;1440
9101944728;EXTREDBT;INRU;344;0;VAR;1440
9101944729;EXTREDBT;INRU;92;0;VAR;1440
